"time","g_gender","g_age","g_hours_per_week_websites","g_amount_online_shop","g_payment_types","g_customer_reviews","g_website_security","g_evaluation","g_design","g_privacy","g_read_privacy","g_read_terms","g_shop_unknown","g_aspects_to_know","1_continue_choc","1_design_stay_choc","1_information_stay_choc","1_logos_stay_choc","1_pictures_stay_choc","1_text_stay_choc","1_continue_soap","1_design_stay_soap","1_information_stay_soap","1_logos_stay_soap","1_pictures_stay_soap","1_text_stay_soap","1_prefer","2_influence_desc_choc","2_influence_rating_choc","2_influence_availability_choc","2_influence_review_choc","2_influence_design_choc","2_influence_desc_soap","2_influence_rating_soap","2_influence_availability_soap","2_influence_review_soap","2_influence_design_soap","2_prefer","3_save_choc","3_sec_amount_choc","3_sec_sensetivity_choc","3_sec_design_choc","3_sec_payment_choc","3_sec_thirdparty_choc","3_save_soap","3_sec_amount_soap","3_sec_sensetivity_soap","3_sec_design_soap","3_sec_payment_soap","3_sec_thirdparty_soap","3_prefer","4_tempted","4_trustworthy","4_missed"
"2020/12/19 2:35:08 PM MEZ","Male","34 to 44","Less than 20 hours","Once in two weeks","Credit Card;PayPal;Invoice","3","5","3","5","4","No","Sometimes","No","Data protection;Terms and conditions;Shipping and payment","3","Stay","Leave","Not noticed","Stay","Leave","2","Leave","Leave","Leave","Not noticed","Not noticed","1","4","3","5","2","4","3","2","3","3","5","1","5","No influence","High influence","High influence","Low influence","Low influence","2","No influence","Low influence","Low influence","No influence","Low influence","1","Trusted shops seal;Contact information;HTTPS Connection - SSL certified;Website design;Product pictures;Product description","Only the chocolate shop",""
"2020/12/21 2:23:49 PM MEZ","Female","55 or older","Less than 5 hours","Once a week","PayPal;Instant bank transfer;Invoice","3","4","4","4","4","Sometimes","Sometimes","No","Terms and conditions;Shipping and payment","1","Stay","Leave","Not noticed","Not noticed","Leave","1","Leave","Leave","Not noticed","Leave","Leave","2","5","3","5","3","4","4","3","5","3","5","2","1","High influence","High influence","Low influence","High influence","No influence","1","High influence","High influence","High influence","High influence","Low influence","3","Trusted shops seal;ReCaptcha authentication","None of them look trustworthy",""
"2020/12/21 5:26:56 PM MEZ","Male","55 or older","Less than 20 hours","Once a month","Instant bank transfer","4","5","4","4","5","Sometimes","Sometimes","when recommended","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","1","Not noticed","Leave","Not noticed","Not noticed","Not noticed","1","Not noticed","Leave","Not noticed","Not noticed","Not noticed","4","5","4","5","4","4","4","5","4","5","4","4","4","Low influence","High influence","Low influence","High influence","High influence","1","Low influence","High influence","Low influence","High influence","High influence","4","Trusted shops seal;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Grammar & spelling;The requested personal data","Both look trustworthy",""
"2020/12/21 5:47:25 PM MEZ","Female","18 to 24","Less than 20 hours","Less than once a month","PayPal;Invoice","4","5","3","3","5","Yes","No","Only, if the website looks trustworthy to me","Data protection;Imprint;Terms and conditions;Shipping and payment;Right of withdrawal;Cookie information","4","Stay","Stay","Stay","Stay","Leave","2","Leave","Leave","Not noticed","Leave","Leave","1","3","5","5","5","4","4","5","5","5","5","1","4","High influence","Low influence","Low influence","High influence","High influence","2","High influence","High influence","Low influence","High influence","High influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;Product pictures;Product description","Only the chocolate shop",""
"2020/12/21 5:49:35 PM MEZ","Male","18 to 24","Less than 20 hours","Less than once a month","PayPal","4","4","3","3","4","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","3","4","3","4","3","3","4","3","4","4","1","4","Low influence","High influence","Low influence","High influence","No influence","2","Low influence","High influence","High influence","High influence","No influence","1","Trusted shops seal;Contact information;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product description","Only the chocolate shop",""
"2020/12/21 5:51:05 PM MEZ","Male","18 to 24","More than 20 hours","Once a week","PayPal;Instant bank transfer","3","4","4","3","3","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Leave","Stay","1","4","3","4","3","2","3","3","4","4","4","1","4","No influence","High influence","Low influence","High influence","Low influence","2","No influence","High influence","High influence","Low influence","Low influence","1","Trusted shops seal;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data","Only the chocolate shop",""
"2020/12/22 1:11:25 PM MEZ","Male","18 to 24","Less than 5 hours","Once a month","Credit Card;PayPal","3","1","3","5","5","Sometimes","Sometimes","No","Data protection;Terms and conditions;Shipping and payment","3","Stay","Stay","Stay","Stay","Stay","1","Leave","Leave","Leave","Leave","Leave","1","4","4","4","4","3","4","4","4","4","3","1","4","High influence","High influence","High influence","High influence","High influence","3","Low influence","Low influence","Low influence","Low influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/22 1:17:41 PM MEZ","Male","Under 18","Less than an hour","Less than once a month","Credit Card","3","3","1","4","2","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Leave","Leave","Stay","Stay","2","4","3","2","3","3","4","3","3","3","4","2","3","High influence","Low influence","Low influence","Low influence","High influence","3","Low influence","High influence","Low influence","High influence","High influence","3","Trusted shops seal;Website design;The requested personal data;Product description","Both look trustworthy",""
"2020/12/22 1:31:52 PM MEZ","Female","18 to 24","Less than 5 hours","Once a week","PayPal","3","5","4","5","5","Sometimes","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment","4","Stay","Leave","Stay","Stay","Not noticed","2","Leave","Leave","Leave","Stay","Not noticed","1","2","4","2","4","5","1","1","1","1","1","1","4","Not noticed","Low influence","High influence","High influence","Low influence","2","Low influence","Low influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;General Data Protection Regulation;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop",""
"2020/12/22 1:33:18 PM MEZ","Male","18 to 24","More than 20 hours","Less than once a month","PayPal;Instant bank transfer","4","4","2","5","4","No","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal;Cookie information","5","Stay","Stay","Stay","Stay","Stay","2","Leave","Stay","Not noticed","Stay","Leave","1","4","3","5","4","5","2","2","4","3","3","1","4","No influence","No influence","High influence","High influence","Not noticed","4","No influence","No influence","Low influence","High influence","Not noticed","2","Trusted shops seal;Website design;Grammar & spelling;Customer reviews;Product pictures","Only the chocolate shop",""
