"time","g_gender","g_age","g_hours_per_week_websites","g_amount_online_shop","g_payment_types","g_customer_reviews","g_website_security","g_evaluation","g_design","g_privacy","g_read_privacy","g_read_terms","g_shop_unknown","g_aspects_to_know","1_continue_choc","1_design_stay_choc","1_information_stay_choc","1_logos_stay_choc","1_pictures_stay_choc","1_text_stay_choc","1_continue_soap","1_design_stay_soap","1_information_stay_soap","1_logos_stay_soap","1_pictures_stay_soap","1_text_stay_soap","1_prefer","2_influence_desc_choc","2_influence_rating_choc","2_influence_availability_choc","2_influence_review_choc","2_influence_design_choc","2_influence_desc_soap","2_influence_rating_soap","2_influence_availability_soap","2_influence_review_soap","2_influence_design_soap","2_prefer","3_save_choc","3_sec_amount_choc","3_sec_sensetivity_choc","3_sec_design_choc","3_sec_payment_choc","3_sec_thirdparty_choc","3_save_soap","3_sec_amount_soap","3_sec_sensetivity_soap","3_sec_design_soap","3_sec_payment_soap","3_sec_thirdparty_soap","3_prefer","4_tempted","4_trustworthy","4_missed"
"2020/12/19 1:14:53 PM MEZ","Male","18 to 24","Less than 10 hours","Once a month","PayPal","4","4","2","4","4","No","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal;Cookie information","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Stay","Not noticed","Leave","Leave","5","4","4","4","4","4","4","4","4","4","4","1","2","Not noticed","Not noticed","Not noticed","Not noticed","Not noticed","2","Not noticed","Not noticed","Not noticed","Not noticed","Not noticed","3","Trusted shops seal;Right of withdrawal;General Data Protection Regulation;Cookie Banner;Website design;Grammar & spelling;The requested personal data;Product pictures;Product description","None of them look trustworthy","Free Chocolate! "
"2020/12/19 1:16:28 PM MEZ","Female","18 to 24","Less than 5 hours","Once a month","Credit Card","5","5","3","5","5","Sometimes","No","No","Terms and conditions;Shipping and payment;Right of withdrawal","3","Leave","Stay","Leave","Stay","Leave","1","Leave","Leave","Leave","Stay","Leave","1","5","4","4","5","5","1","1","1","5","5","1","3","No influence","Not noticed","High influence","High influence","Not noticed","1","No influence","High influence","High influence","Not noticed","High influence","1","Right of withdrawal;Website design;The requested personal data;Customer reviews;Product pictures;Product description","Only the chocolate shop","a list of the products im going to order"
"2020/12/19 1:18:59 PM MEZ","Female","18 to 24","Less than 5 hours","Once a month","PayPal","3","4","3","3","4","No","No","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment;Right of withdrawal","2","Leave","Leave","Stay","Stay","Not noticed","2","Leave","Not noticed","Not noticed","Stay","Stay","3","2","3","3","2","4","2","2","3","2","3","3","3","High influence","High influence","Low influence","High influence","Low influence","2","Low influence","No influence","Low influence","No influence","No influence","1","Contact information;Right of withdrawal;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling","None of them look trustworthy",""
"2020/12/19 1:19:05 PM MEZ","Female","18 to 24","Less than 5 hours","Once a month","PayPal","3","4","3","3","4","No","No","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment;Right of withdrawal","2","Leave","Leave","Stay","Stay","Not noticed","2","Leave","Not noticed","Not noticed","Stay","Stay","3","2","3","3","2","4","2","2","3","2","3","3","3","High influence","High influence","Low influence","High influence","Low influence","2","Low influence","No influence","Low influence","No influence","No influence","1","Contact information;Right of withdrawal;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling","None of them look trustworthy",""
"2020/12/19 1:19:12 PM MEZ","Female","18 to 24","Less than 5 hours","Once a month","PayPal","3","4","3","3","4","No","No","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment;Right of withdrawal","2","Leave","Leave","Stay","Stay","Not noticed","2","Leave","Not noticed","Not noticed","Stay","Stay","3","2","3","3","2","4","2","2","3","2","3","3","3","High influence","High influence","Low influence","High influence","Low influence","2","Low influence","No influence","Low influence","No influence","No influence","1","Contact information;Right of withdrawal;General Data Protection Regulation;Cookie Banner;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling","None of them look trustworthy",""
"2020/12/19 1:21:33 PM MEZ","Female","45 to 54","Less than 10 hours","Once a week","Credit Card;PayPal","5","5","3","4","3","Yes","Sometimes","No","Shipping and payment","4","Stay","Stay","Stay","Stay","Stay","3","Stay","Stay","Stay","Stay","Stay","3","3","3","3","3","3","3","3","3","3","3","3","3","Not noticed","High influence","Low influence","High influence","No influence","3","Not noticed","High influence","No influence","High influence","No influence","3","Trusted shops seal;The requested personal data;Customer reviews","Both look trustworthy",""
"2020/12/19 1:24:15 PM MEZ","Male","18 to 24","Less than 20 hours","Once a week","PayPal;Instant bank transfer","3","4","4","5","4","No","No","Only, if the website looks trustworthy to me","Data protection;Shipping and payment;Right of withdrawal","4","Stay","Leave","Leave","Stay","Stay","1","Leave","Leave","Leave","Leave","Not noticed","2","3","4","5","4","4","1","2","5","4","3","2","3","No influence","Low influence","Low influence","High influence","Low influence","2","No influence","Low influence","High influence","High influence","Low influence","2","Trusted shops seal;Right of withdrawal;HTTPS Connection - SSL certified;ReCaptcha authentication;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures","Only the chocolate shop","The trusted shops seal was not shown in the pictures"
"2020/12/19 1:28:21 PM MEZ","Female","25 to 34","Less than 5 hours","Once a week","Credit Card;PayPal;Instant bank transfer","5","4","2","2","4","No","Sometimes","Only, if the website looks trustworthy to me","Terms and conditions;Shipping and payment;Right of withdrawal","4","Stay","Stay","Stay","Stay","Stay","2","Leave","Leave","Stay","Not noticed","Stay","1","3","5","4","5","4","3","5","4","5","4","1","4","High influence","Low influence","Low influence","High influence","Low influence","3","High influence","High influence","Low influence","High influence","Low influence","1","Trusted shops seal;Contact information;Right of withdrawal;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Both look trustworthy",""
"2020/12/19 1:31:48 PM MEZ","Male","18 to 24","Less than 10 hours","Once a month","Credit Card;PayPal","4","3","2","4","3","No","No","Only, if the website looks trustworthy to me","Shipping and payment;Right of withdrawal","4","Leave","Not noticed","Not noticed","Stay","Not noticed","3","Leave","Leave","Not noticed","Stay","Not noticed","2","2","3","1","3","2","3","3","1","2","2","3","2","High influence","High influence","Low influence","High influence","Low influence","2","High influence","High influence","Low influence","High influence","Low influence","3","Grammar & spelling;Customer reviews;Product pictures;Product description","None of them look trustworthy",""
"2020/12/19 1:32:01 PM MEZ","Female","18 to 24","More than 20 hours","Less than once a month","Invoice","3","5","4","5","5","No","Yes","Only, if the website looks trustworthy to me","Data protection;Terms and conditions;Shipping and payment;Right of withdrawal","5","Stay","Stay","Stay","Stay","Stay","3","Stay","Stay","Stay","Stay","Stay","2","4","4","3","4","4","3","3","3","4","4","2","2","High influence","High influence","High influence","High influence","Low influence","2","High influence","High influence","High influence","High influence","Low influence","3","Trusted shops seal;Contact information;Right of withdrawal;HTTPS Connection - SSL certified;Website design;Grammar & spelling;The requested personal data;Customer reviews;Product pictures;Product description","Both look trustworthy",""
